年度,問題番号,カテゴリ,出題法令,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
令和7年度,1,権利関係,民法（物権変動・登記）,所有者AがBに甲土地を売却し、その後にBがCに甲土地を売却した場合に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。なお、この問において、Cは背信的悪意者ではないものとする。,甲土地の所有権登記がAの名義のままであったとしても、Bは、Cに甲土地を売却した後は、Aに対して自己に甲土地の所有権移転登記をするよう請求することはできない。,Cは、甲土地の所有権移転登記を備えなければ、Aに対して自己が所有者であることを主張することができない。,AB間の売買契約が、BC間の売買契約締結よりも前にAにより解除されていた場合、又は、BC間の売買契約締結後にAにより解除された場合のいずれの場合であっても、Cは、甲土地の所有権移転登記を備えれば、Aに対して自己の所有権を主張することができる。,AB間の売買契約が、BC間の売買契約よりも前にBの強迫を理由として取り消されていた場合、又は、BC間の売買契約締結後にBの強迫を理由として取り消された場合のいずれの場合であっても、Cは、Bの強迫につき善意でかつ過失がなければ、Aに対して自己の所有権を主張することができる。,3
令和7年度,2,権利関係,民法（保証・連帯保証）,個人であるAが、①賃貸人Bと賃借人Cとの間の期間を2年とする居住用甲建物の賃貸借契約に基づくCの一切の債務の連帯保証契約をBと締結した場合、②売主Dと買主Eとの間の居住用乙建物の売買契約に基づく代金支払債務の保証契約をDと締結した場合、に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,①の連帯保証契約は書面によってしなければ無効であるのに対し、②の保証契約は書面によらず、口頭で契約を締結しても有効である。,①のBがAに対して連帯保証債務の履行を請求してきた場合には、AはまずCに請求するように主張できるのに対し、②のDがAに対して保証債務の履行を請求してきた場合には、AはまずEに請求するように主張することはできない。,①の連帯保証契約は保証の限度額である極度額を定めなければ無効であるのに対し、②の保証契約は極度額を定める必要はない。,①も②もAが主たる債務者C及びEの委託を受けて保証した場合において、Aが債権者B及びDに対して主たる債務の履行状況に関する情報を提供するよう請求したときは、①のBは、これらの情報を、遅滞なく、Aに提供しなければならないのに対し、②のDは、守秘義務を理由にこれらの情報の提供を拒否することができる。,3
令和7年度,3,権利関係,民法（意思表示）,"意思表示に関する次の記述のうち、民法の規定によれば、誤っているものはいくつあるか。
ア　表意者が真意でないことを知ってした意思表示は無効であるが、相手方がその意思表示が表意者の真意ではないことを知らなければ、知らないことにつき過失があっても、当該意思表示は有効となる。
イ　相手方と通じてした虚偽の意思表示は無効であり、第三者がその虚偽表示につき善意であっても、過失があれば、当該第三者にその無効を対抗することができる。
ウ　意思表示は、当該意思表示に対応する意思を欠く錯誤に基づくものであって、その錯誤が法律行為の目的及び取引上の社会通念に照らして重要なものであるときは、無効であるが、その錯誤につき善意でかつ過失がない第三者には、その無効を対抗することができない。
エ　詐欺による意思表示は取り消すことができるが、その詐欺につき善意でかつ過失がない取消し前の第三者には、その取消しを対抗することができない。",一つ,二つ,三つ,四つ,3
令和7年度,4,権利関係,民法（担保物権・相殺）,"AがBから弁済の期限の定めなく金1,000万円を借り入れる金銭消費貸借契約（以下この問において「本件契約」という。）における次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。",Aは、本件契約におけるAの債務を担保するために、Aが所有する不動産に対し、Bのために、抵当権を設定することはできるが、質権を設定することはできない。,Aが本件契約に基づく債務の弁済を怠ったときに、BがAから預かっている動産を占有している場合には、Bは当該動産の返還時期が到来しても弁済を受けるまでその動産に関して留置権を行使することができる。,Aが本件契約に基づく債務の弁済を怠った場合には、BはAの総財産に対して先取特権を行使することができる。,"Aが、期限が到来しているBの悪意による不法行為に基づく金1,000万円の損害賠償請求債権をBに対して有している場合、Aは本件契約に基づく返還債務をBに対する当該損害賠償請求債権で相殺することができる。",4
令和7年度,5,権利関係,民法（相続・代襲相続）,"Aの子がBであり、Bの子がCであり、CがAの直系卑属である場合において、民法の規定によれば、次のアからエまでの記述のうち、Aが死亡した際にCがBを代襲してAの相続人となるときを全て掲げたものはどれか。
ア　Aが死亡する以前にBが死亡したとき
イ　Bが相続に関するAの遺言書を偽造して相続権を失ったとき
ウ　BがAによって相続人から廃除されて相続権を失ったとき
エ　Bが相続放棄をしたとき",ア、エ,イ、ウ,ア、ウ、エ,ア、イ、ウ,4
令和7年度,6,権利関係,民法（物権変動）,Aが所有している甲土地についての物権変動に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。,Bが甲土地をAに無断でCに売却し、その後、BがAから甲土地を購入した場合、Cは、Bから甲土地を購入した時点に遡って甲土地の所有権を取得する。,Dが甲土地につき、Aに無断でDへの虚偽の所有権の移転の登記をした上で、甲土地をEに売却してその旨の登記をした場合において、その後、AがFに甲土地を売却したときは、Fは、Eに対し、甲土地の所有権を主張することができる。,Gが甲土地の所有権を時効取得した場合、Gはその後にAを単独相続したHに対して、登記を備えていなくても、甲土地の所有権を主張することができる。,Aが甲土地上の立木の所有権を留保して甲土地をJに売却し、その後、JがKに甲土地及びその上の立木を売却した場合には、Aは、Kに対し、立木の所有権の留保につき登記又は明認方法を備えない限り、立木の所有権を主張することができない。,1
令和7年度,7,権利関係,民法（賃貸借・事務管理・不当利得）,Aは自己の所有する甲建物を事務所としてBに賃貸し（以下この問において「本件契約」という。）、その後、本件契約の期間中に甲建物の屋根に雨漏りが生じたため、CがBから甲建物の屋根の修理を請け負い、Cによる修理が完了した。この場合における次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。,BがCに修理代金を支払わないまま無資力となり、賃料を滞納して本件契約が解除されたことにより甲建物はAに明け渡された。この場合、CはAに対して、事務管理に基づいて修理費用相当額の支払を求めることはできない。,BがCに修理代金を支払ったとしても、本件契約において、Aの負担に属するとされる甲建物の屋根の修理費用について直ちに償還請求することができる旨の特約がない限り、契約終了時でなければ、BはAに対して償還を求めることはできない。,BがCに修理代金を支払わない場合、Cは、Bが占有する甲建物につき、当然に不動産工事の先取特権を行使することができる。,BがCに修理代金を支払わないまま無資力となり、賃料を滞納して本件契約が解除されたことにより甲建物はAに明け渡された。本件契約において、BがAに権利金を支払わないことの代償として、甲建物の修理費用をBの負担とする旨の特約が存し、当該屋根の修理費用と権利金が相応していたときであっても、CはAに対して、不当利得に基づいて修理費用相当額の支払を求めることができる。,1
令和7年度,8,権利関係,民法（共有）,A、B及びCがそれぞれ3分の1の持分の割合で甲土地を共有している場合に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。なお、甲土地を分割しない旨の契約は存在しないものとする。,甲土地につき無権利のDが、自己への虚偽の所有権移転登記をした場合には、Aは、単独で、Dに対し、その所有権移転登記の抹消を求めることができる。,Aが甲土地についての自己の持分を放棄した場合には、その持分は国庫に帰属する。,Aが死亡し、E及びFが相続した場合には、B及びCは、Aの遺産についての遺産分割がされる前であっても、E及びFに対して共有物分割の訴えを提起することができる。,AがB及びCに無断で甲土地を占有している場合であっても、Bは、Aに対し、当然には自己に甲土地を明け渡すように求めることができない。,2
令和7年度,9,権利関係,民法（連帯債務）,連帯債務者の一人について生じた次の事由のうち、民法の規定によれば、他の連帯債務者に対して効力が生じないものとして正しいものはどれか。なお、この問において、連帯債務者の一人について生じた事由が他の連帯債務者に対して効力が生じる旨の別段の意思表示はないものとする。,債権者がした連帯債務者の一人に対する履行の請求,連帯債務者の一人と債権者との間の混同,連帯債務者の一人が債権者に対して債権を有する場合において、その連帯債務者がした相殺の援用,連帯債務者の一人と債権者との間の更改,1
令和7年度,10,権利関係,民法・宅建業法（契約不適合責任）,Aを売主、Bを買主とする甲土地の売買契約による甲土地の引渡し後に、目的物の品質に関して契約の内容に適合しない土壌汚染が見つかった場合の売主の担保の責任（以下この問において「契約不適合責任」という。）に基づく損害賠償に関する次の記述のうち、民法の規定、宅地建物取引業法の規定及び判例によれば、誤っているものはどれか。,Bは、甲土地の引渡しの日から11年が経過した時点で甲土地の土壌汚染を発見し、発見した時点から1年以内にAに通知した。Aが当該土壌汚染があることを重大な過失なく知らなかった場合、Aが宅地建物取引業者であるか否かにかかわらず、Bは損害賠償を請求することはできない。,甲土地の引渡しの日から3年以内に契約不適合の通知をしなければ売主は契約不適合責任を負わない旨の特約があり、Bが引渡しの日から4年が経過した時点で土壌汚染を発見して直ちにAに通知した。Aが当該土壌汚染があることを重大な過失なく知らなかった場合、Aが宅地建物取引業者であるか否かにかかわらず、Bは損害賠償を請求することはできない。,甲土地の引渡しの日から1年以内に契約不適合の通知をしなければ売主は契約不適合責任を負わない旨の特約があり、Aは甲土地に土壌汚染があることを売買契約締結時点で知っていて告げていなかった。Bが引渡しの日から3年が経過した時点で当該土壌汚染を発見して直ちにAに通知した場合、Aが宅地建物取引業者であるか否かによって、Bが損害賠償を請求できるか否かの結論が異なる。,売主は契約不適合責任を一切負わない旨の特約があり、Bは引渡しの日から1年が経過した時点で土壌汚染を発見して直ちにAに通知した。Aが当該土壌汚染があることを重大な過失なく知らなかった場合、Aが宅地建物取引業者であるか否かによって、Bが損害賠償を請求できるか否かの結論が異なる。,3
